Product_ID,Product_Name,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Last_Order_Date,Sales_Volume,Inventory_Turnover_Rate
29-205-1132,Sushi Rice,38-037-1699,Jaxnation,22,72,70,$4.50,6/29/2024,32,19
40-681-9981,Arabica Coffee,54-470-2479,Feedmix,45,77,2,$20.00,5/29/2024,85,1
06-955-3428,Black Rice,54-031-2945,Vinder,30,38,83,$6.00,6/10/2024,31,34
71-594-6552,Long Grain Rice,63-492-7603,Brightbean,12,59,62,$1.50,2/19/2025,95,99
57-437-1828,Plum,54-226-4308,Topicstorm,37,30,74,$4.00,10/11/2024,62,25
21-120-6238,All-Purpose Flour,86-292-4587,Dabjam,55,33,14,$1.75,5/26/2024,34,62
71-516-1996,Corn Oil,04-391-7610,Tagfeed,96,52,16,$2.50,5/7/2024,67,13
39-629-5554,Egg (Goose),67-679-4930,Muxo,44,90,17,$2.50,4/9/2024,21,91
66-268-8345,Greek Yogurt,32-182-1895,Thoughtstorm,91,84,11,$3.00,6/2/2024,56,90
46-452-9419,Egg (Duck),67-137-4215,Wordify,43,10,15,$1.00,11/14/2024,27,69
51-469-4611,Long Grain Rice,62-029-0827,Fivebridge,62,81,91,$1.60,5/24/2024,100,42
42-220-9305,White Sugar,56-092-7992,Zooxo,91,98,6,$2.00,12/11/2024,100,20
75-094-1179,Rye Bread,57-615-0729,Vitz,26,79,31,$3.00,2/9/2025,47,41
11-073-0189,Plum,75-190-3627,Voomm,95,50,76,$4.00,9/21/2024,69,5
22-621-2774,Strawberries,70-901-6191,Babblestorm,54,26,16,$6.00,6/30/2024,63,97
39-449-0772,Feta Cheese,84-504-7617,Youfeed,94,13,15,$7.00,4/2/2024,20,24
55-936-2406,Bread Flour,29-689-5014,Mynte,27,93,88,$1.50,3/9/2024,66,13
82-041-7211,Swiss Cheese,03-615-0558,Reallinks,49,49,26,$8.00,5/19/2024,78,61
48-414-6162,Arabica Coffee,10-060-8515,Skivee,55,93,84,$20.00,11/8/2024,46,84
